time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0024
15:18:07,0.000,0.089,0.065,0.069,0.000,0.058,0.080,0.070,0.000
15:18:08,0.000,0.045,0.056,0.047,0.000,0.063,0.047,0.042,0.000
15:18:09,0.000,0.077,0.059,0.047,0.000,0.060,0.048,0.041,0.000
15:18:10,0.000,0.051,0.050,0.047,0.000,0.059,0.049,0.046,0.000
15:18:11,0.000,0.045,0.053,0.048,0.000,0.060,0.050,0.041,0.000
15:18:12,0.000,0.042,0.053,0.049,0.000,0.061,0.049,0.040,0.000
15:18:13,0.000,0.044,0.051,0.047,0.000,0.061,0.045,0.042,0.000
15:18:14,0.000,0.044,0.045,0.047,0.000,0.050,0.049,0.038,0.000
15:18:15,0.000,0.047,0.051,0.053,0.000,0.063,0.075,0.040,0.000
15:18:16,0.000,0.065,0.050,0.049,0.000,0.061,0.050,0.040,0.000
15:18:17,0.000,0.076,0.052,0.048,0.000,0.061,0.049,0.040,0.000
15:18:18,0.000,0.049,0.052,0.048,0.000,0.064,0.044,0.041,0.000
15:18:19,0.000,0.047,0.050,0.048,0.000,0.063,0.045,0.042,0.000
15:18:20,0.000,0.057,0.068,0.062,0.000,0.054,0.063,0.041,0.000
15:18:21,0.000,0.067,0.059,0.072,0.000,0.051,0.067,0.047,0.000
15:18:22,0.000,0.052,0.060,0.067,0.000,0.053,0.066,0.040,0.000
15:18:23,0.000,0.049,0.050,0.053,0.000,0.057,0.055,0.040,0.000
15:18:24,0.000,0.044,0.049,0.047,0.000,0.058,0.045,0.039,0.000
15:18:25,0.000,0.045,0.048,0.048,0.000,0.055,0.049,0.039,0.000
15:18:26,0.000,0.047,0.048,0.048,0.000,0.056,0.048,0.039,0.000
15:18:27,0.000,0.043,0.048,0.047,0.000,0.057,0.051,0.040,0.000
15:18:28,0.000,0.042,0.051,0.047,0.000,0.057,0.049,0.041,0.000
15:18:29,0.000,0.044,0.052,0.048,0.000,0.055,0.046,0.040,0.000
15:18:30,0.000,0.043,0.048,0.047,0.000,0.055,0.047,0.041,0.000
15:18:31,0.000,0.045,0.050,0.047,0.000,0.057,0.048,0.040,0.000
15:18:32,0.000,0.044,0.049,0.048,0.000,0.057,0.047,0.041,0.000
15:18:33,0.000,0.044,0.047,0.048,0.000,0.070,0.044,0.039,0.000
15:18:34,0.000,0.041,0.044,0.048,0.000,0.052,0.045,0.040,0.000
15:18:35,0.000,0.055,0.048,0.048,0.000,0.057,0.045,0.040,0.000
15:18:36,0.000,0.043,0.052,0.048,0.000,0.058,0.047,0.039,0.000
15:18:37,0.000,0.041,0.046,0.046,0.000,0.052,0.047,0.036,0.000
15:18:38,0.000,0.044,0.050,0.046,0.000,0.057,0.048,0.068,0.000
15:18:39,0.000,0.044,0.051,0.047,0.000,0.057,0.048,0.041,0.000
15:18:40,0.000,0.042,0.047,0.052,0.000,0.056,0.049,0.044,0.000
15:18:41,0.000,0.046,0.047,0.050,0.000,0.057,0.043,0.040,0.000
15:18:42,0.000,0.045,0.046,0.048,0.000,0.054,0.048,0.039,0.000
15:18:43,0.000,0.042,0.045,0.046,0.000,0.055,0.045,0.040,0.000
15:18:44,0.000,0.041,0.048,0.048,0.000,0.056,0.044,0.040,0.000
15:18:45,0.000,0.042,0.047,0.051,0.000,0.056,0.056,0.040,0.000
15:18:46,0.000,0.045,0.049,0.045,0.000,0.054,0.048,0.040,0.000
15:18:47,0.000,0.047,0.046,0.054,0.000,0.055,0.047,0.042,0.000
15:18:48,0.000,0.042,0.048,0.047,0.000,0.059,0.046,0.040,0.000
15:18:49,0.000,0.044,0.047,0.049,0.000,0.055,0.046,0.043,0.000
15:18:50,0.000,0.041,0.047,0.047,0.000,0.055,0.047,0.045,0.000
15:18:51,0.000,0.042,0.049,0.048,0.000,0.057,0.046,0.040,0.000
15:18:52,0.000,0.042,0.049,0.049,0.000,0.056,0.047,0.039,0.000
15:18:53,0.000,0.044,0.049,0.047,0.000,0.056,0.047,0.039,0.000
15:18:54,0.000,0.049,0.048,0.047,0.000,0.054,0.046,0.039,0.000
15:18:55,0.000,0.042,0.048,0.047,0.000,0.053,0.050,0.040,0.000
15:18:56,0.000,0.043,0.046,0.050,0.000,0.055,0.078,0.039,0.000
15:18:57,0.000,0.041,0.049,0.051,0.000,0.054,0.050,0.039,0.000
15:18:58,0.000,0.048,0.047,0.047,0.000,0.057,0.050,0.045,0.000
15:18:59,0.000,0.045,0.051,0.046,0.000,0.056,0.045,0.040,0.000
15:19:00,0.000,0.050,0.062,0.050,0.000,0.075,0.048,0.078,0.000
15:19:01,0.000,0.056,0.057,0.088,0.000,0.058,0.085,0.063,0.000
15:19:02,0.000,0.069,0.048,0.058,0.000,0.056,0.082,0.054,0.000
15:19:03,0.000,0.045,0.048,0.057,0.000,0.046,0.060,0.037,0.000
15:19:04,0.000,0.042,0.050,0.060,0.000,0.047,0.061,0.038,0.000
15:19:05,0.000,0.061,0.065,0.069,0.000,0.046,0.070,0.035,0.000
15:19:06,0.000,0.063,0.065,0.074,0.000,0.058,0.067,0.041,0.000
15:19:07,0.000,0.057,0.055,0.080,0.000,0.049,0.060,0.037,0.000
15:19:08,0.000,0.053,0.061,0.051,0.000,0.055,0.056,0.042,0.000
15:19:09,0.000,0.050,0.061,0.052,0.000,0.057,0.057,0.044,0.000
15:19:10,0.000,0.066,0.067,0.069,0.000,0.054,0.071,0.039,0.000
15:19:11,0.000,0.073,0.063,0.074,0.000,0.050,0.073,0.045,0.000
15:19:12,0.000,0.060,0.077,0.079,0.000,0.054,0.070,0.041,0.000
15:19:13,0.000,0.050,0.062,0.050,0.000,0.052,0.069,0.040,0.000
15:19:14,0.000,0.055,0.054,0.060,0.000,0.049,0.055,0.038,0.000
15:19:15,0.000,0.064,0.060,0.059,0.000,0.053,0.061,0.040,0.000
15:19:16,0.000,0.056,0.058,0.069,0.000,0.048,0.066,0.044,0.000
15:19:17,0.000,0.049,0.059,0.064,0.000,0.058,0.101,0.086,0.000
15:19:18,0.000,0.063,0.075,0.056,0.000,0.055,0.060,0.044,0.000
15:19:19,0.000,0.052,0.059,0.061,0.000,0.055,0.062,0.042,0.000
15:19:20,0.000,0.050,0.059,0.068,0.000,0.061,0.061,0.039,0.000
15:19:21,0.000,0.050,0.061,0.059,0.000,0.058,0.056,0.039,0.000
15:19:22,0.000,0.056,0.066,0.061,0.000,0.054,0.060,0.041,0.000
15:19:23,0.000,0.052,0.063,0.056,0.000,0.057,0.057,0.043,0.000
