time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0016,n23g0013->n23g0017,n23g0013->n23g0018,n23g0013->n23g0019,n23g0013->n23g0022,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0016,n23g0015->n23g0017,n23g0015->n23g0018,n23g0015->n23g0019,n23g0015->n23g0022,n23g0015->n23g0024,n23g0016->n23g0013,n23g0016->n23g0015,n23g0016->n23g0016,n23g0016->n23g0017,n23g0016->n23g0018,n23g0016->n23g0019,n23g0016->n23g0022,n23g0016->n23g0024,n23g0017->n23g0013,n23g0017->n23g0015,n23g0017->n23g0016,n23g0017->n23g0017,n23g0017->n23g0018,n23g0017->n23g0019,n23g0017->n23g0022,n23g0017->n23g0024,n23g0018->n23g0013,n23g0018->n23g0015,n23g0018->n23g0016,n23g0018->n23g0017,n23g0018->n23g0018,n23g0018->n23g0019,n23g0018->n23g0022,n23g0018->n23g0024,n23g0019->n23g0013,n23g0019->n23g0015,n23g0019->n23g0016,n23g0019->n23g0017,n23g0019->n23g0018,n23g0019->n23g0019,n23g0019->n23g0022,n23g0019->n23g0024,n23g0022->n23g0013,n23g0022->n23g0015,n23g0022->n23g0016,n23g0022->n23g0017,n23g0022->n23g0018,n23g0022->n23g0019,n23g0022->n23g0022,n23g0022->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0016,n23g0024->n23g0017,n23g0024->n23g0018,n23g0024->n23g0019,n23g0024->n23g0022,n23g0024->n23g0024
15:24:19,0.000,0.068,0.071,0.047,0.069,0.066,0.163,0.064,0.063,0.000,0.064,0.052,0.063,0.056,0.065,0.064,0.062,0.058,0.000,0.060,0.062,0.066,0.162,0.048,0.072,0.066,0.055,0.000,0.060,0.065,0.059,0.046,0.075,0.081,0.053,0.067,0.000,0.069,0.076,0.056,0.069,0.049,0.054,0.080,0.068,0.000,0.174,0.051,0.086,0.067,0.154,0.157,0.076,0.054,0.000,0.036,0.096,0.063,0.059,0.047,0.058,0.068,0.069,0.000
15:24:20,0.000,0.043,0.039,0.038,0.043,0.040,0.157,0.045,0.045,0.000,0.049,0.045,0.047,0.043,0.156,0.043,0.053,0.049,0.000,0.112,0.049,0.045,0.163,0.047,0.051,0.052,0.048,0.000,0.049,0.044,0.164,0.042,0.049,0.050,0.048,0.046,0.000,0.045,0.054,0.047,0.055,0.045,0.047,0.047,0.051,0.000,0.172,0.041,0.052,0.050,0.139,0.137,0.048,0.102,0.000,0.042,0.054,0.044,0.042,0.042,0.041,0.041,0.037,0.000
15:24:21,0.000,0.043,0.040,0.039,0.041,0.041,0.153,0.039,0.048,0.000,0.041,0.040,0.041,0.040,0.149,0.048,0.048,0.046,0.000,0.046,0.050,0.045,0.156,0.042,0.048,0.102,0.046,0.000,0.045,0.043,0.152,0.042,0.047,0.046,0.046,0.046,0.000,0.045,0.051,0.045,0.047,0.046,0.045,0.046,0.043,0.000,0.053,0.041,0.045,0.045,0.134,0.136,0.042,0.135,0.000,0.040,0.051,0.042,0.042,0.040,0.040,0.041,0.067,0.000
15:24:22,0.000,0.042,0.039,0.038,0.040,0.046,0.159,0.048,0.052,0.000,0.045,0.055,0.046,0.044,0.155,0.043,0.047,0.047,0.000,0.046,0.047,0.047,0.180,0.042,0.053,0.048,0.044,0.000,0.047,0.045,0.163,0.045,0.050,0.055,0.053,0.053,0.000,0.045,0.054,0.045,0.046,0.046,0.045,0.044,0.043,0.000,0.167,0.040,0.054,0.049,0.144,0.141,0.046,0.050,0.000,0.046,0.051,0.044,0.041,0.040,0.040,0.040,0.035,0.000
15:24:23,0.000,0.043,0.040,0.038,0.039,0.040,0.164,0.049,0.052,0.000,0.061,0.044,0.054,0.043,0.152,0.043,0.054,0.047,0.000,0.048,0.047,0.043,0.165,0.041,0.047,0.047,0.049,0.000,0.045,0.045,0.169,0.043,0.048,0.049,0.045,0.046,0.000,0.046,0.055,0.047,0.046,0.045,0.051,0.043,0.045,0.000,0.052,0.043,0.051,0.048,0.143,0.136,0.045,0.137,0.000,0.053,0.047,0.041,0.042,0.047,0.039,0.040,0.035,0.000
15:24:24,0.000,0.051,0.042,0.039,0.040,0.040,0.166,0.047,0.045,0.000,0.045,0.043,0.040,0.041,0.154,0.047,0.049,0.047,0.000,0.045,0.044,0.045,0.162,0.042,0.048,0.049,0.047,0.000,0.047,0.044,0.219,0.041,0.048,0.054,0.046,0.047,0.000,0.044,0.055,0.047,0.045,0.044,0.044,0.046,0.042,0.000,0.166,0.042,0.050,0.051,0.140,0.149,0.045,0.043,0.000,0.037,0.049,0.040,0.039,0.039,0.039,0.039,0.035,0.000
15:24:25,0.000,0.041,0.040,0.039,0.039,0.042,0.158,0.049,0.050,0.000,0.040,0.041,0.040,0.044,0.148,0.060,0.053,0.046,0.000,0.112,0.044,0.046,0.161,0.040,0.062,0.048,0.049,0.000,0.050,0.043,0.178,0.042,0.069,0.049,0.046,0.045,0.000,0.044,0.055,0.046,0.047,0.046,0.046,0.047,0.044,0.000,0.167,0.044,0.052,0.050,0.140,0.144,0.142,0.038,0.000,0.038,0.052,0.042,0.040,0.040,0.040,0.040,0.036,0.000
15:24:26,0.000,0.045,0.039,0.039,0.040,0.041,0.171,0.046,0.054,0.000,0.045,0.041,0.042,0.042,0.152,0.049,0.049,0.045,0.000,0.046,0.044,0.043,0.160,0.044,0.048,0.046,0.045,0.000,0.048,0.043,0.207,0.043,0.049,0.050,0.046,0.047,0.000,0.044,0.056,0.045,0.046,0.047,0.043,0.044,0.043,0.000,0.161,0.041,0.050,0.049,0.141,0.143,0.139,0.041,0.000,0.037,0.050,0.042,0.039,0.039,0.038,0.040,0.036,0.000
15:24:27,0.000,0.043,0.039,0.039,0.039,0.039,0.162,0.048,0.051,0.000,0.043,0.067,0.041,0.039,0.159,0.049,0.049,0.045,0.000,0.044,0.047,0.050,0.167,0.042,0.048,0.047,0.047,0.000,0.046,0.043,0.168,0.042,0.050,0.048,0.047,0.045,0.000,0.045,0.056,0.045,0.046,0.044,0.044,0.043,0.045,0.000,0.053,0.041,0.056,0.048,0.137,0.142,0.133,0.139,0.000,0.037,0.051,0.042,0.039,0.038,0.039,0.040,0.035,0.000
15:24:28,0.000,0.047,0.040,0.038,0.040,0.041,0.159,0.046,0.056,0.000,0.047,0.048,0.044,0.042,0.156,0.049,0.048,0.047,0.000,0.044,0.045,0.045,0.159,0.041,0.048,0.048,0.046,0.000,0.046,0.044,0.167,0.041,0.055,0.048,0.046,0.045,0.000,0.047,0.054,0.045,0.046,0.044,0.052,0.044,0.043,0.000,0.157,0.050,0.051,0.050,0.146,0.145,0.132,0.044,0.000,0.037,0.049,0.043,0.041,0.044,0.040,0.041,0.038,0.000
