link,src,dst,samples,received,loss_pct,min_ms,avg_ms,p50_ms,p95_ms,max_ms
n23g0013->n23g0013,n23g0013,n23g0013,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0013->n23g0015,n23g0013,n23g0015,180,180,0.000,0.039,0.044,0.043,0.049,0.068
n23g0013->n23g0016,n23g0013,n23g0016,180,180,0.000,0.035,0.040,0.039,0.051,0.071
n23g0013->n23g0017,n23g0013,n23g0017,180,180,0.000,0.035,0.040,0.039,0.047,0.060
n23g0013->n23g0018,n23g0013,n23g0018,180,180,0.000,0.037,0.041,0.040,0.052,0.069
n23g0013->n23g0019,n23g0013,n23g0019,180,180,0.000,0.038,0.042,0.040,0.051,0.067
n23g0013->n23g0022,n23g0013,n23g0022,180,180,0.000,0.049,0.155,0.156,0.184,0.214
n23g0013->n23g0024,n23g0013,n23g0024,180,180,0.000,0.037,0.042,0.040,0.050,0.079
n23g0015->n23g0013,n23g0015,n23g0013,180,180,0.000,0.038,0.048,0.048,0.055,0.071
n23g0015->n23g0015,n23g0015,n23g0015,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0015->n23g0016,n23g0015,n23g0016,180,180,0.000,0.035,0.042,0.040,0.050,0.076
n23g0015->n23g0017,n23g0015,n23g0017,180,180,0.000,0.036,0.040,0.038,0.049,0.067
n23g0015->n23g0018,n23g0015,n23g0018,180,180,0.000,0.035,0.040,0.039,0.046,0.063
n23g0015->n23g0019,n23g0015,n23g0019,180,180,0.000,0.036,0.039,0.039,0.045,0.056
n23g0015->n23g0022,n23g0015,n23g0022,180,180,0.000,0.049,0.144,0.150,0.168,0.186
n23g0015->n23g0024,n23g0015,n23g0024,180,180,0.000,0.035,0.046,0.046,0.051,0.071
n23g0016->n23g0013,n23g0016,n23g0013,180,180,0.000,0.043,0.052,0.049,0.073,0.078
n23g0016->n23g0015,n23g0016,n23g0015,180,180,0.000,0.036,0.044,0.044,0.050,0.058
n23g0016->n23g0016,n23g0016,n23g0016,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0016->n23g0017,n23g0016,n23g0017,180,180,0.000,0.037,0.048,0.046,0.055,0.113
n23g0016->n23g0018,n23g0016,n23g0018,180,180,0.000,0.036,0.046,0.045,0.051,0.069
n23g0016->n23g0019,n23g0016,n23g0019,180,180,0.000,0.037,0.047,0.045,0.059,0.071
n23g0016->n23g0022,n23g0016,n23g0022,180,180,0.000,0.048,0.148,0.157,0.167,0.198
n23g0016->n23g0024,n23g0016,n23g0024,180,180,0.000,0.037,0.043,0.042,0.049,0.057
n23g0017->n23g0013,n23g0017,n23g0013,180,180,0.000,0.045,0.051,0.050,0.057,0.072
n23g0017->n23g0015,n23g0017,n23g0015,180,180,0.000,0.038,0.048,0.046,0.054,0.102
n23g0017->n23g0016,n23g0017,n23g0016,180,180,0.000,0.037,0.047,0.046,0.052,0.061
n23g0017->n23g0017,n23g0017,n23g0017,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0017->n23g0018,n23g0017,n23g0018,180,180,0.000,0.037,0.046,0.046,0.050,0.065
n23g0017->n23g0019,n23g0017,n23g0019,180,180,0.000,0.037,0.045,0.045,0.052,0.070
n23g0017->n23g0022,n23g0017,n23g0022,180,180,0.000,0.045,0.155,0.159,0.180,0.219
n23g0017->n23g0024,n23g0017,n23g0024,180,180,0.000,0.037,0.044,0.043,0.049,0.057
n23g0018->n23g0013,n23g0018,n23g0013,180,180,0.000,0.041,0.052,0.049,0.069,0.126
n23g0018->n23g0015,n23g0018,n23g0015,180,180,0.000,0.036,0.047,0.047,0.054,0.081
n23g0018->n23g0016,n23g0018,n23g0016,180,180,0.000,0.037,0.045,0.045,0.051,0.084
n23g0018->n23g0017,n23g0018,n23g0017,180,180,0.000,0.037,0.046,0.045,0.051,0.071
n23g0018->n23g0018,n23g0018,n23g0018,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0018->n23g0019,n23g0018,n23g0019,180,180,0.000,0.037,0.045,0.045,0.050,0.069
n23g0018->n23g0022,n23g0018,n23g0022,180,180,0.000,0.037,0.060,0.053,0.153,0.236
n23g0018->n23g0024,n23g0018,n23g0024,180,180,0.000,0.037,0.043,0.042,0.048,0.057
n23g0019->n23g0013,n23g0019,n23g0013,180,180,0.000,0.040,0.049,0.046,0.055,0.122
n23g0019->n23g0015,n23g0019,n23g0015,180,180,0.000,0.035,0.044,0.044,0.049,0.065
n23g0019->n23g0016,n23g0019,n23g0016,180,180,0.000,0.035,0.046,0.045,0.058,0.076
n23g0019->n23g0017,n23g0019,n23g0017,180,180,0.000,0.037,0.045,0.044,0.051,0.080
n23g0019->n23g0018,n23g0019,n23g0018,180,180,0.000,0.036,0.045,0.044,0.051,0.079
n23g0019->n23g0019,n23g0019,n23g0019,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0019->n23g0022,n23g0019,n23g0022,180,180,0.000,0.043,0.061,0.052,0.163,0.183
n23g0019->n23g0024,n23g0019,n23g0024,180,180,0.000,0.036,0.043,0.043,0.050,0.066
n23g0022->n23g0013,n23g0022,n23g0013,180,180,0.000,0.039,0.061,0.051,0.088,0.186
n23g0022->n23g0015,n23g0022,n23g0015,180,180,0.000,0.038,0.045,0.044,0.053,0.069
n23g0022->n23g0016,n23g0022,n23g0016,180,180,0.000,0.037,0.126,0.133,0.156,0.236
n23g0022->n23g0017,n23g0022,n23g0017,180,180,0.000,0.040,0.135,0.135,0.149,0.195
n23g0022->n23g0018,n23g0022,n23g0018,180,180,0.000,0.037,0.120,0.132,0.159,0.185
n23g0022->n23g0019,n23g0022,n23g0019,180,180,0.000,0.036,0.128,0.134,0.161,0.182
n23g0022->n23g0022,n23g0022,n23g0022,180,180,0.000,0.000,0.000,0.000,0.000,0.000
n23g0022->n23g0024,n23g0022,n23g0024,180,180,0.000,0.035,0.066,0.046,0.146,0.193
