step,solver_type,duration_ms,local_moved
1,Regular,2.402,0.0
2,ML,15172.4,30.9259
3,Regular,2.27629,11.5763
4,ML,38.9532,30.0181
5,Regular,2.01325,17.5936
6,ML,36.7101,29.2168
7,Regular,1.70858,22.3566
8,ML,37.0852,28.6083
9,Regular,2.07363,26.2047
10,ML,36.642,28.0708
11,Regular,1.76527,29.4874
12,ML,35.8295,27.6155
13,Regular,2.05739,32.2829
14,ML,36.0668,27.1577
15,Regular,2.03922,34.621
16,ML,35.9325,26.7306
17,Regular,2.06835,36.7581
18,ML,35.8469,26.3413
19,Regular,1.82167,38.6544
20,ML,35.9912,26.0095
21,Regular,1.76111,40.3502
22,ML,35.6162,25.6524
