step,solver_type,duration_ms,local_moved
1,Regular,2.36167,0.0
2,ML,1743.45,30.9259
3,Regular,2.30147,11.5763
4,ML,17.2477,30.0181
5,Regular,1.70985,17.5936
6,ML,16.1219,29.2168
7,Regular,1.71838,22.3569
8,ML,16.7014,28.6086
9,Regular,1.64222,26.2054
10,ML,16.0771,28.0693
11,Regular,1.64793,29.4861
12,ML,16.0082,27.6139
13,Regular,1.74734,32.2805
14,ML,16.1114,27.1562
15,Regular,1.74291,34.6188
16,ML,16.1198,26.7317
17,Regular,1.66184,36.7579
18,ML,16.6082,26.3417
19,Regular,1.67071,38.6547
20,ML,16.7958,26.011
21,Regular,1.8159,40.3515
22,ML,16.6037,25.6502
