step,solver_type,duration_ms,local_moved
1,Regular,2.41141,0.0
2,ML,18678.4,41.3906
3,Regular,2.34499,15.6072
4,ML,637.768,39.4519
5,Regular,1.79259,24.7724
6,ML,504.961,38.0085
7,Regular,1.81656,31.7714
8,ML,505.21,36.9713
9,Regular,1.82077,37.3413
10,ML,503.639,36.1335
11,Regular,1.99474,42.0041
12,ML,506.897,35.4553
13,Regular,2.29106,45.9551
14,ML,506.855,34.8211
15,Regular,1.85293,49.2375
16,ML,501.812,34.2673
17,Regular,2.05575,52.1664
18,ML,504.559,33.7883
19,Regular,1.83529,54.7172
20,ML,498.178,33.38
21,Regular,2.09444,56.9491
22,ML,499.949,32.99
