step,solver_type,duration_ms,local_moved
1,Regular,2.42264,0.0
2,ML,792.698,41.3906
3,Regular,2.26061,15.6072
4,ML,340.252,39.4519
5,Regular,1.75564,24.7724
6,ML,370.896,38.0085
7,Regular,2.13459,31.7714
8,ML,364.631,36.9713
9,Regular,1.74517,37.3413
10,ML,357.912,36.1335
11,Regular,2.15883,42.0041
12,ML,354.202,35.4553
13,Regular,1.8614,45.9551
14,ML,353.601,34.8211
15,Regular,1.74346,49.2375
16,ML,351.976,34.2673
17,Regular,1.8018,52.1664
18,ML,349.922,33.7883
19,Regular,1.72762,54.7172
20,ML,349.039,33.38
21,Regular,2.3222,56.9491
22,ML,371.976,32.99
