step,solver_type,duration_ms,local_moved
1,Regular,2.2251,0.0
2,ML,271.381,40.6898
3,Regular,1.87278,15.3107
4,ML,122.803,38.7805
5,Regular,2.16836,24.3357
6,ML,115.298,37.3584
7,Regular,2.2195,31.2061
8,ML,115.374,36.3446
9,Regular,2.18731,36.6709
10,ML,105.407,35.5438
11,Regular,2.22631,41.2529
12,ML,116.191,34.8721
13,Regular,2.46473,45.1256
14,ML,117.871,34.2651
15,Regular,2.23013,48.3451
16,ML,104.112,33.7266
17,Regular,1.81071,51.2174
18,ML,108.8,33.2694
19,Regular,1.92594,53.7219
20,ML,110.444,32.87
21,Regular,1.84343,55.9118
22,ML,113.103,32.4966
