step,solver_type,duration_ms,local_moved
1,Regular,2.23709,0.0
2,ML,327.236,40.6898
3,Regular,1.89508,15.3107
4,ML,112.586,38.7805
5,Regular,1.99262,24.3357
6,ML,98.0258,37.3584
7,Regular,2.17189,31.2061
8,ML,89.4911,36.3446
9,Regular,2.42666,36.6709
10,ML,91.7366,35.5438
11,Regular,1.80036,41.2529
12,ML,174.401,34.8721
13,Regular,2.71129,45.1256
14,ML,112.86,34.2651
15,Regular,2.16371,48.3451
16,ML,90.8569,33.7266
17,Regular,2.22434,51.2174
18,ML,87.9625,33.2694
19,Regular,2.15598,53.7219
20,ML,83.7062,32.87
21,Regular,1.75948,55.9118
22,ML,113.903,32.4966
