step,solver_type,duration_ms,local_moved
1,Regular,4.25324,0.0
2,ML,625.056,11.855
3,Regular,5.02501,5.15288
4,ML,97.414,11.5239
5,Regular,4.08852,8.058
6,ML,136.317,11.3378
7,Regular,4.12383,10.5871
8,ML,144.049,11.2377
9,Regular,4.65531,12.7845
10,ML,102.81,11.173
11,Regular,4.14489,14.7061
12,ML,100.034,11.1012
13,Regular,4.61427,16.3936
14,ML,98.525,10.9917
15,Regular,4.56518,17.751
16,ML,104.546,10.876
17,Regular,4.3351,19.0452
18,ML,104.852,10.7727
19,Regular,4.58042,20.1553
20,ML,94.191,10.6969
21,Regular,4.32527,21.2391
22,ML,88.8309,10.6316
