step,solver_type,duration_ms,local_moved
1,Regular,0.33187,0.0
2,ML,18906.7,11.8551
3,Regular,4.82731,5.15288
4,ML,30.4725,11.5239
5,Regular,4.79297,8.058
6,ML,29.5277,11.3378
7,Regular,5.5207,10.5871
8,ML,28.853,11.2377
9,Regular,5.03235,12.7845
10,ML,32.4214,11.173
11,Regular,0.607817,14.7061
12,ML,31.5779,11.1011
13,Regular,4.97046,16.3935
14,ML,25.5655,10.9916
15,Regular,6.27893,17.751
16,ML,27.0051,10.876
17,Regular,0.696731,19.0452
18,ML,27.2522,10.7726
19,Regular,0.637276,20.1552
20,ML,32.149,10.6969
21,Regular,0.692918,21.2392
22,ML,33.0044,10.6317
