step,solver_type,duration_ms,local_moved
1,Regular,24.9053,0.0
2,ML,2264.23,11.8551
3,Regular,5.08086,5.15288
4,ML,30.3414,11.5239
5,Regular,5.49849,8.058
6,ML,29.5112,11.3378
7,Regular,5.45691,10.5871
8,ML,29.8606,11.2377
9,Regular,0.661274,12.7845
10,ML,32.8344,11.173
11,Regular,5.29,14.7061
12,ML,29.5113,11.1011
13,Regular,5.26265,16.3935
14,ML,28.9216,10.9916
15,Regular,6.02918,17.751
16,ML,28.6255,10.876
17,Regular,0.639507,19.0452
18,ML,32.1415,10.7726
19,Regular,5.45092,20.1552
20,ML,29.3602,10.6969
21,Regular,0.671876,21.2392
22,ML,32.6312,10.6317
