step,solver_type,duration_ms,local_moved
1,Regular,2.6227,0.0
2,ML,52787.8,11.9636
3,Regular,3.17568,5.18666
4,ML,755.917,11.6237
5,Regular,1.63083,8.10758
6,ML,609.236,11.4346
7,Regular,1.60354,10.6544
8,ML,607.173,11.3295
9,Regular,1.45016,12.8637
10,ML,601.488,11.2574
11,Regular,1.45927,14.7946
12,ML,608.196,11.1802
13,Regular,1.62436,16.4889
14,ML,607.269,11.0684
15,Regular,1.49708,17.8544
16,ML,603.746,10.9501
17,Regular,1.31171,19.1568
18,ML,605.949,10.8468
19,Regular,0.902397,20.2764
20,ML,603.885,10.7657
21,Regular,1.71713,21.3648
22,ML,607.923,10.6939
