step,solver_type,duration_ms,local_moved
1,Regular,1.18938,0.0
2,ML,5620.45,11.9636
3,Regular,1.59925,5.18666
4,ML,455.001,11.6237
5,Regular,0.848574,8.10758
6,ML,420.625,11.4346
7,Regular,1.47985,10.6544
8,ML,424.173,11.3295
9,Regular,1.31104,12.8637
10,ML,429.532,11.2574
11,Regular,1.31423,14.7946
12,ML,393.628,11.1802
13,Regular,1.32845,16.4889
14,ML,370.79,11.0684
15,Regular,1.43499,17.8544
16,ML,409.195,10.9501
17,Regular,1.55902,19.1568
18,ML,364.824,10.8468
19,Regular,1.48434,20.2764
20,ML,404.547,10.7657
21,Regular,1.29955,21.3648
22,ML,412.89,10.6939
