step,solver_type,duration_ms,local_moved
1,Regular,4.54684,0.0
2,ML,5475.1,11.855
3,Regular,4.10136,5.15288
4,ML,735.637,11.5239
5,Regular,4.76748,8.058
6,ML,584.623,11.3378
7,Regular,5.04606,10.5871
8,ML,560.824,11.2377
9,Regular,5.465,12.7845
10,ML,559.232,11.173
11,Regular,4.81713,14.7061
12,ML,624.808,11.1012
13,Regular,5.43265,16.3936
14,ML,646.566,10.9917
15,Regular,4.8182,17.751
16,ML,589.958,10.876
17,Regular,5.32574,19.0452
18,ML,561.091,10.7727
19,Regular,4.68572,20.1553
20,ML,559.968,10.6969
21,Regular,5.4551,21.2391
22,ML,557.307,10.6316
