step,solver_type,duration_ms,local_moved
1,Regular,4.43096,0.0
2,ML,437.488,11.855
3,Regular,4.612,5.15288
4,ML,145.45,11.5239
5,Regular,4.62563,8.058
6,ML,110.782,11.3378
7,Regular,4.52932,10.5871
8,ML,129.68,11.2377
9,Regular,4.13501,12.7845
10,ML,139.83,11.173
11,Regular,4.4319,14.7061
12,ML,141.022,11.1012
13,Regular,4.80866,16.3936
14,ML,136.577,10.9917
15,Regular,4.74826,17.751
16,ML,138.16,10.876
17,Regular,4.52209,19.0452
18,ML,131.0,10.7727
19,Regular,4.91345,20.1553
20,ML,121.723,10.6969
21,Regular,0.26154,21.2391
22,ML,126.658,10.6316
